"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"2294","antigonon leptopus","antigonon","","leptopus",NA,NA,"","","kew-2642295",TRUE,"1.1","Accepted","Polygonaceae","Antigonon","","leptopus","","","Hook. & Arn.","kew-2642295","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2295","salvia farinacea","salvia","","farinacea",NA,NA,"","","kew-182630",TRUE,"1.1","Accepted","Lamiaceae","Salvia","","farinacea","","","Benth.","kew-182630","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2296","helianthus annuus","helianthus","","annuus",NA,NA,"","","gcc-44475",TRUE,"1.1","Accepted","Compositae","Helianthus","","annuus","","","L.","gcc-44475","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2297","liriope muscari","liriope","","muscari",NA,NA,"","","kew-280317",TRUE,"1.1","Accepted","Asparagaceae","Liriope","","muscari","","","(Decne.) L.H.Bailey","kew-280317","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2298","rosa","rosa","",NA,NA,NA,"","","",FALSE,"1.1","","","rosa","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"2299","gomphrena globosa","gomphrena","","globosa",NA,NA,"","","kew-2829209",TRUE,"1.1","Accepted","Amaranthaceae","Gomphrena","","globosa","","","L.","kew-2829209","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2300","salvia greggii","salvia","","greggii",NA,NA,"","","kew-182763",TRUE,"1.1","Accepted","Lamiaceae","Salvia","","greggii","","","A.Gray","kew-182763","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2301","lantana montevidensis","lantana","","montevidensis",NA,NA,"","","kew-108181",TRUE,"1.1","Accepted","Verbenaceae","Lantana","","montevidensis","","","(Spreng.) Briq.","kew-108181","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2302","rosmarinus prostratus","rosmarinus","","prostratus",NA,NA,"","","kew-179881",TRUE,"1.1","Synonym","Lamiaceae","Rosmarinus","","officinalis","","","L.","kew-179873","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2303","hymenocallus liriosme","hymenocallus","","liriosme",NA,NA,"","","",FALSE,"1.1","","","hymenocallus","","liriosme",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
