"","x"
"118","blackfoot daisy (melampodium leucanthum)"
"119","blue and black salvia"
"120","blue mist"
"121","blue mist flowers"
"122","blue salvia"
"123","bonariensis"
"124","bonariensis rigida"
"125","bottlebrush tree"
"126","bougainvillea"
"127","bougainvillea spectabilis"
"128","bronze fennel"
"129","buddleia"
"130","buddleia davidii"
"131","buddleia hybrid"
"132","buddleja davidii"
"133","buddlieia"
"134","bufflehead lochinch"
"135","bugleweed"
"136","bugleweed  ajuga reptans"
"137","bulb one frutescens"
"138","bulbine frutescens"
"139","bulbine frutescens"
"140","bumelia lanuginosa"
"141","butterfly bush"
"142","butterfly bush buddleia davidii"
"143","butterfly weed"
"144","butterfly weed (asclepias)"
"145","button bush"
"146","caesaipinia pulcherrima"
"147","caesaipinia pulcherrina"
"148","caesalpinia mexicaba"
"149","caesalpinia pulcherrim"
"150","caesalpinia pulcherrima"
"151","caesalpnia pulcherrina"
"152","calaminthe nepeta ssp. nepeta"
"153","calaminthe nepta ssp nepta"
"154","calaminthe nepta ssp. . nepta"
"155","calaminthenepeta ssp."
"156","calaminthenepeta ssp. nepe"
"157","calaminthenepeta ssp. nepeta"
"158","calaminthenepeta ssp. nepeta blue calamint"
"159","calamondin"
"160","calamondin tree"
"161","calliandra californica"
"162","callicarpa"
"163","callicarpa americana"
"164","callicarpa dichotoma"
"165","callirhoe"
"166","callistemon"
"167","callistemon citrinus"
"168","calylophus"
"169","calyloplus"
"170","calylopus"
"171","calyophus"
"172","calyoplus"
"173","calypoplus"
"174","calyptocarpus vialis"
"175","campisis radicans"
"176","campsis radican"
"177","campsis radicans"
"178","canna americanallis"
"179","canna americannalis"
"180","canna lily                  canna indica"
"181","canna lily        canna indica"
"182","canna x generalis"
"183","cantaloupe"
"184","cape honeysuckle"
"185","caryopteris"
"186","cat mint / zinnia / marigold"
"187","cat mint, amaranth, ross moss, milk weed"
"188","catharanthus roseus"
"189","catmint"
"190","catmont"
"191","catnip"
"192","caylophus"
"193","ceasaipinia pulcherrima"
"194","celosia"
"195","celosia plumosa"
"196","celosia spicata"
"197","celososia spicata"
"198","celtis laerigata"
"199","celtis laevigata"
"200","centaurea americana"
"201","centauria americana"
"202","centranthus rubrum"
"203","cephalanthus occidentalis"
"204","cephalanthus occidentalis"
"205","cestrum"
